2026 NFL Schedule with Kickoff Times:

Week 1:
  Patriots @ Seahawks                  8:20 PM ET (Wednesday Kickoff Game)
  49ers @ Rams                         8:35 PM ET (Melbourne, Australia)
  Cowboys @ Giants                     8:20 PM ET (Sunday Night Football)
  Falcons @ Steelers                   1:00 PM ET
  Jets @ Lions                         1:00 PM ET
  Texans @ Commanders                  1:00 PM ET
  Eagles @ Cardinals                   4:05 PM ET
  Vikings @ Saints                     1:00 PM ET
  Browns @ Jaguars                     1:00 PM ET
  Dolphins @ Raiders                   4:25 PM ET
  Broncos @ Chiefs                     8:15 PM ET (Monday Night Football)
  Buccaneers @ Bengals                 1:00 PM ET
  Colts @ Titans                       1:00 PM ET
  Bears @ Panthers                     1:00 PM ET
  Bills @ Packers                      4:25 PM ET
  Chargers @ Ravens                    4:05 PM ET

Week 2:
  Ravens @ Colts                       8:20 PM ET (Sunday Night Football)
  Browns @ Buccaneers                  1:00 PM ET
  Saints @ Panthers                    1:00 PM ET
  Vikings @ Bears                      1:00 PM ET
  Raiders @ Patriots                   4:25 PM ET
  Seahawks @ Rams                      4:25 PM ET
  Packers @ Jets                       1:00 PM ET
  Steelers @ Titans                    1:00 PM ET
  Chargers @ Dolphins                  1:00 PM ET
  Commanders @ Eagles                  1:00 PM ET
  Giants @ Texans                      8:15 PM ET (Monday Night Football)
  Lions @ Bills                        8:15 PM ET (Thursday Night Football)
  Jaguars @ Cowboys                    1:00 PM ET
  Chiefs @ Bengals                     1:00 PM ET
  Broncos @ Cardinals                  4:05 PM ET
  49ers @ Falcons                      4:05 PM ET

Week 3:
  Chiefs @ Seahawks                    4:25 PM ET
  Titans @ Giants                      1:00 PM ET
  Texans @ Chargers                    8:15 PM ET (Thursday Night Football)
  Eagles @ Bears                       8:15 PM ET (Monday Night Football)
  Bills @ Vikings                      1:00 PM ET
  Panthers @ Browns                    1:00 PM ET
  Ravens @ Cowboys                     4:25 PM ET (Rio de Janeiro, Brazil)
  Rams @ Commanders                    4:25 PM ET
  Colts @ Jaguars                      1:00 PM ET
  Dolphins @ Broncos                   4:05 PM ET
  Cardinals @ Saints                   1:00 PM ET
  Bengals @ Steelers                   1:00 PM ET
  Buccaneers @ Falcons                 1:00 PM ET
  Jets @ Patriots                      1:00 PM ET
  Raiders @ 49ers                      4:05 PM ET
  Lions @ Packers                      8:20 PM ET (Sunday Night Football)

Week 4:
  Jaguars @ Texans                     1:00 PM ET
  Bears @ Bills                        8:20 PM ET (Sunday Night Football)
  Patriots @ Chargers                  4:25 PM ET
  Panthers @ Buccaneers                8:15 PM ET (Thursday Night Football)
  Jets @ Chiefs                        4:05 PM ET
  Cowboys @ Rams                       4:25 PM ET
  Steelers @ Eagles                    1:00 PM ET
  Bengals @ Ravens                     1:00 PM ET
  Falcons @ Saints                     1:00 PM ET
  Broncos @ 49ers                      4:05 PM ET
  Browns @ Titans                      1:00 PM ET
  Cardinals @ Giants                   1:00 PM ET
  Colts @ Commanders                   9:30 AM ET (London, England)
  Vikings @ Lions                      1:00 PM ET
  Seahawks @ Raiders                   8:15 PM ET (Monday Night Football)
  Dolphins @ Packers                   1:00 PM ET

Week 5:
  Saints @ Bengals                     8:15 PM ET (Thursday Night Football)
  Lions @ Panthers                     4:25 PM ET
  Cowboys @ Colts                      1:00 PM ET
  Packers @ Buccaneers                 1:00 PM ET
  Texans @ Titans                      1:00 PM ET
  Steelers @ Browns                    1:00 PM ET
  Rams @ Cardinals                     4:05 PM ET
  Patriots @ Dolphins                  1:00 PM ET
  Raiders @ Broncos                    4:05 PM ET
  Falcons @ Vikings                    1:00 PM ET
  Ravens @ Bills                       8:15 PM ET (Monday Night Football)
  Eagles @ Jaguars                     9:30 AM ET (London, England)
  Chargers @ Chiefs                    8:20 PM ET (Sunday Night Football)
  49ers @ Seahawks                     4:25 PM ET
  Bye: Bears, Commanders, Giants, Jets

Week 6:
  Titans @ Ravens                      1:00 PM ET
  Texans @ Jaguars                     9:30 AM ET (London, England)
